record_id_document,document_symbol_found,lang_field,doc_url,date_document
645191.0,S/PV.6060,English,https://digitallibrary.un.org/record/645191/files/S_PV.6060-EN.pdf,2008-12-31
643816.0,S/PV.6046,English,https://digitallibrary.un.org/record/643816/files/S_PV.6046-EN.pdf,2008-12-16
643813.0,S/PV.6045,English,https://digitallibrary.un.org/record/643813/files/S_PV.6045-EN.pdf,2008-12-16
643396.0,A/63/PV.65,English,https://digitallibrary.un.org/record/643396/files/A_63_PV.65-EN.pdf,2008-12-10
643080.0,S/PV.6034,English,https://digitallibrary.un.org/record/643080/files/S_PV.6034-EN.pdf,2008-12-09
641379.0,A/63/PV.46,English,https://digitallibrary.un.org/record/641379/files/A_63_PV.46-EN.pdf,2008-11-12
638318.0,A/63/PV.17,English,https://digitallibrary.un.org/record/638318/files/A_63_PV.17-EN.pdf,2008-10-02
637733.0,A/63/PV.5,English,https://digitallibrary.un.org/record/637733/files/A_63_PV.5-EN.pdf,2008-09-23
637752.0,S/PV.5979,English,https://digitallibrary.un.org/record/637752/files/S_PV.5979-EN.pdf,2008-09-23
637643.0,A/63/PV.3,English,https://digitallibrary.un.org/record/637643/files/A_63_PV.3-EN.pdf,2008-09-22
637318.0,A/62/PV.117,English,https://digitallibrary.un.org/record/637318/files/A_62_PV.117-EN.pdf,2008-09-04
635451.0,S/PV.5968,English,https://digitallibrary.un.org/record/635451/files/S_PV.5968-EN.pdf,2008-08-27
632375.0,A/62/PV.112,English,https://digitallibrary.un.org/record/632375/files/A_62_PV.112-EN.pdf,2008-07-18
632396.0,S/PV.5936,English,https://digitallibrary.un.org/record/632396/files/S_PV.5936-EN.pdf,2008-07-17
629998.0,S/PV.5917,English,https://digitallibrary.un.org/record/629998/files/S_PV.5917-EN.pdf,2008-06-20
629881.0,S/PV.5916,English,https://digitallibrary.un.org/record/629881/files/S_PV.5916-EN.pdf,2008-06-19
628706.0,A/62/PV.102,English,https://digitallibrary.un.org/record/628706/files/A_62_PV.102-EN.pdf,2008-06-10
627096.0,S/PV.5895,English,https://digitallibrary.un.org/record/627096/files/S_PV.5895-EN.pdf,2008-05-20
626531.0,S/PV.5889,English,https://digitallibrary.un.org/record/626531/files/S_PV.5889-EN.pdf,2008-05-12
