record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,lang_field,doc_url,date_document,text_based,speech_index,multiple_matches,tokens,types,sentences,file_name
426372,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/55/PV.3,2000-09-06,7,2000,9,6,A,,55.0,PV.3,,English,https://digitallibrary.un.org/record/421789/files/A_55_PV.3-EN.pdf,2000-09-06,True,1,True,778,315,34,A_2000_55_PV.3_speech_2.txt
429706,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/55/PV.8,2000-09-08,7,2000,9,8,A,,55.0,PV.8,,English,https://digitallibrary.un.org/record/421963/files/A_55_PV.8-EN.pdf,2000-09-08,True,0,False,803,340,41,A_2000_55_PV.8_speech.txt
430990,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/55/PV.10,2000-09-12,7,2000,9,12,A,,55.0,PV.10,,English,https://digitallibrary.un.org/record/422032/files/A_55_PV.10-EN.pdf,2000-09-12,True,0,False,1817,611,63,A_2000_55_PV.10_speech.txt
428414,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/ES-10/PV.14,2000-10-20,7,2000,10,20,A,ES-10,,PV.14,,English,https://digitallibrary.un.org/record/425381/files/A_ES-10_PV.14-EN.pdf,2000-10-20,True,0,False,1943,623,77,A_2000_ES-10_PV.14_speech.txt
445545,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/S-25/PV.1,2001-06-06,7,2001,6,6,A,S-25,,PV.1,,English,https://digitallibrary.un.org/record/443645/files/A_S-25_PV.1-EN.pdf,2001-06-06,True,0,False,970,423,45,A_2001_S-25_PV.1_speech.txt
448429,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/S-26/PV.1,2001-06-25,7,2001,6,25,A,S-26,,PV.1,,English,https://digitallibrary.un.org/record/441700/files/A_S-26_PV.1-EN.pdf,2001-06-25,True,0,False,812,321,45,A_2001_S-26_PV.1_speech.txt
447473,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/55/PV.105,2001-06-29,7,2001,6,29,A,,55.0,PV.105,,English,https://digitallibrary.un.org/record/444671/files/A_55_PV-105-EN.pdf,2001-06-29,True,0,False,891,357,29,A_2001_55_PV.105_speech.txt
450152,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.1,2001-09-12,7,2001,9,12,A,,56.0,PV.1,,English,https://digitallibrary.un.org/record/448064/files/A_56_PV.1-EN.pdf,2001-09-12,True,0,True,470,218,16,A_2001_56_PV.1_speech_1.txt
450152,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.1,2001-09-12,7,2001,9,12,A,,56.0,PV.1,,English,https://digitallibrary.un.org/record/448064/files/A_56_PV.1-EN.pdf,2001-09-12,True,1,True,210,105,9,A_2001_56_PV.1_speech_2.txt
450152,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.1,2001-09-12,7,2001,9,12,A,,56.0,PV.1,,English,https://digitallibrary.un.org/record/448064/files/A_56_PV.1-EN.pdf,2001-09-12,True,2,True,44,35,2,A_2001_56_PV.1_speech_3.txt
450555,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.7,2001-09-24,7,2001,9,24,A,,56.0,PV.7,,English,https://digitallibrary.un.org/record/448664/files/A_56_PV.7-EN.pdf,2001-09-24,True,0,False,1541,539,57,A_2001_56_PV.7_speech.txt
450943,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.12,2001-10-01,7,2001,10,1,A,,56.0,PV.12,,English,https://digitallibrary.un.org/record/449060/files/A_56_PV.12-EN.pdf,2001-10-01,True,0,False,1845,602,69,A_2001_56_PV.12_speech.txt
455904,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.24,2001-10-12,7,2001,10,12,A,,56.0,PV.24,,English,https://digitallibrary.un.org/record/450051/files/A_56_PV-24-EN.pdf,2001-10-12,True,0,False,282,136,10,A_2001_56_PV.24_speech.txt
474888,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.42,2001-11-09,7,2001,11,9,A,,56.0,PV.42,,English,https://digitallibrary.un.org/record/452150/files/A_56_PV.42-EN.pdf,2001-11-09,True,0,False,5262,1404,212,A_2001_56_PV.42_speech.txt
458122,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.44,2001-11-10,7,2001,11,10,A,,56.0,PV.44,,English,https://digitallibrary.un.org/record/452152/files/A_56_PV.44-EN.pdf,2001-11-10,True,0,False,1699,609,79,A_2001_56_PV.44_speech.txt
472002,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/S-27/PV.1,2002-05-08,7,2002,5,8,A,S-27,,PV.1,,English,https://digitallibrary.un.org/record/464326/files/A_S-27_PV.1-EN.pdf,2002-05-08,True,0,False,1041,349,51,A_2002_S-27_PV.1_speech.txt
472928,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/56/PV.101,2002-06-17,7,2002,6,17,A,,56.0,PV.101,,English,https://digitallibrary.un.org/record/466898/files/A_56_PV-101-EN.pdf,2002-06-17,True,0,False,681,310,29,A_2002_56_PV.101_speech.txt
475863,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/57/PV.2,2002-09-12,7,2002,9,12,A,,57.0,PV.2,,English,https://digitallibrary.un.org/record/473555/files/A_57_PV.2-EN.pdf,2002-09-12,True,0,False,1667,632,68,A_2002_57_PV.2_speech.txt
477861,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/57/PV.10,2002-09-16,7,2002,9,16,A,,57.0,PV.10,,English,https://digitallibrary.un.org/record/473976/files/A_57_PV.10-EN.pdf,2002-09-16,True,0,False,855,350,34,A_2002_57_PV.10_speech.txt
479935,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/57/PV.22,2002-10-04,7,2002,10,4,A,,57.0,PV.22,,English,https://digitallibrary.un.org/record/475418/files/A_57_PV.22-EN.pdf,2002-10-04,True,0,False,1346,478,51,A_2002_57_PV.22_speech.txt
