record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf,record_id_document,document_symbol_found,lang_field,doc_url,date_document,text_based,two_column_layout,left_column_french,starting_page
338057,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/S-16/PV.1,1989-12-12,5,1989,12,12,A,S-16,,PV.1,,A_1989_S-16_PV.1_,A_1989_S-16_PV.1_speeches.pdf,84067.0,A/S-16/PV.1,English,https://digitallibrary.un.org/record/84067/files/A_S-16_PV.1-EN.pdf,1989-12-12,False,False,,2
337840,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.83,1989-12-19,5,1989,12,19,A,,44.0,PV.83,,A_1989_44_PV.83_,A_1989_44_PV.83_speeches.pdf,82105.0,A/44/PV.83,English,https://digitallibrary.un.org/record/82105/files/A_44_PV.83-EN.pdf,1989-12-19,False,False,,2
338854,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/S-17/PV.1,1990-02-20,5,1990,2,20,A,S-17,,PV.1,,A_1990_S-17_PV.1_,A_1990_S-17_PV.1_speeches.pdf,87277.0,A/S-17/PV.1,English,https://digitallibrary.un.org/record/87277/files/A_S-17_PV.1-EN.pdf,1990-02-20,False,False,,2
338378,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.89,1990-02-20,5,1990,2,20,A,,44.0,PV.89,,A_1990_44_PV.89_,A_1990_44_PV.89_speeches.pdf,87191.0,A/44/PV.89,English,https://digitallibrary.un.org/record/87191/files/A_44_PV.89-EN.pdf,1990-02-20,False,False,,2
339005,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/S-18/PV.1,1990-04-23,5,1990,4,23,A,S-18,,PV.1,,A_1990_S-18_PV.1_,A_1990_S-18_PV.1_speeches.pdf,89990.0,A/S-18/PV.1,English,https://digitallibrary.un.org/record/89990/files/A_S-18_PV-1-EN.pdf,1990-04-23,False,False,,2
339386,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.95,1990-07-20,5,1990,7,20,A,,44.0,PV.95,,A_1990_44_PV.95_,A_1990_44_PV.95_speeches.pdf,95692.0,A/44/PV.95,English,https://digitallibrary.un.org/record/95692/files/A_44_PV.95-EN.pdf,1990-07-20,False,False,,2
339655,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.96,1990-09-11,5,1990,9,11,A,,44.0,PV.96,,A_1990_44_PV.96_,A_1990_44_PV.96_speeches.pdf,97899.0,A/44/PV.96,English,https://digitallibrary.un.org/record/97899/files/A_44_PV-96-EN.pdf,1990-09-11,False,False,,2
340208,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/45/PV.29,1990-10-10,5,1990,10,10,A,,45.0,PV.29,,A_1990_45_PV.29_,A_1990_45_PV.29_speeches.pdf,101783.0,A/45/PV.29,English,https://digitallibrary.un.org/record/101783/files/A_45_PV.29-EN.pdf,1990-10-10,False,False,,2
340356,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/45/PV.34,1990-10-24,5,1990,10,24,A,,45.0,PV.34,,A_1990_45_PV.34_,A_1990_45_PV.34_speeches.pdf,101786.0,A/45/PV.34,English,https://digitallibrary.un.org/record/101786/files/A_45_PV.34-EN.pdf,1990-10-24,False,False,,2
340489,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/C.1/45/PV.17,1990-10-25,5,1990,10,25,A,C.1,45.0,PV.17,,A_1990_C.1_45_PV.17_,A_1990_C.1_45_PV.17_speeches.pdf,102294.0,A/C.1/45/PV.17,English,https://digitallibrary.un.org/record/102294/files/A_C.1_45_PV.17-EN.pdf,1990-10-25,False,False,,2
