record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf,record_id_document,document_symbol_found,lang_field,doc_url,date_document
4036553,"Guterres, António, 1949-",UN. Secretary-General,E/2023/SR.19,2023-05-23,9,2023,5,23,E,,2023.0,SR.19,,E_2023_2023_SR.19_,E_2023_2023_SR.19_speeches.pdf,4023711.0,E/2023/SR.19,English,https://digitallibrary.un.org/record/4023711/files/E_2023_SR.19-EN.pdf,2023-05-23
4030136,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9327,2023-05-23,9,2023,5,23,S,,,PV.9327,,S_2023_PV.9327_,S_2023_PV.9327_speeches.pdf,4012120.0,S/PV.9327,English,https://digitallibrary.un.org/record/4012120/files/S_PV.9327-EN.pdf,2023-05-23
4010388,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9310,2023-04-25,9,2023,4,25,S,,,PV.9310,,S_2023_PV.9310_,S_2023_PV.9310_speeches.pdf,4010178.0,S/PV.9310,English,https://digitallibrary.un.org/record/4010178/files/S_PV.9310-EN.pdf,2023-04-25
4009901,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9308,2023-04-24,9,2023,4,24,S,,,PV.9308,,S_2023_PV.9308_,S_2023_PV.9308_speeches.pdf,4009868.0,S/PV.9308,English,https://digitallibrary.un.org/record/4009868/files/S_PV.9308-EN.pdf,2023-04-24
4015288,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.64,2023-03-29,9,2023,3,29,A,,77.0,PV.64,,A_2023_77_PV.64_,A_2023_77_PV.64_speeches.pdf,4013262.0,A/77/PV.64,English,https://digitallibrary.un.org/record/4013262/files/A_77_PV.64-EN.pdf,2023-03-29
4008220,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9296,2023-03-28,9,2023,3,28,S,,,PV.9296,,S_2023_PV.9296_,S_2023_PV.9296_speeches.pdf,4008015.0,S/PV.9296,English,https://digitallibrary.un.org/record/4008015/files/S_PV.9296-EN.pdf,2023-03-28
4029241,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.63,2023-03-27,9,2023,3,27,A,,77.0,PV.63,,A_2023_77_PV.63_,A_2023_77_PV.63_speeches.pdf,4020708.0,A/77/PV.63,English,https://digitallibrary.un.org/record/4020708/files/A_77_PV.63-EN.pdf,2023-03-27
4029199,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.62,2023-03-21,9,2023,3,21,A,,77.0,PV.62,,A_2023_77_PV.62_,A_2023_77_PV.62_speeches.pdf,4020531.0,A/77/PV.62,English,https://digitallibrary.un.org/record/4020531/files/A_77_PV.62-EN.pdf,2023-03-21
4005715,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9269,2023-02-24,9,2023,2,24,S,,,PV.9269,,S_2023_PV.9269_,S_2023_PV.9269_speeches.pdf,4004741.0,S/PV.9269,English,https://digitallibrary.un.org/record/4004741/files/S_PV.9269-EN.pdf,2023-02-24
4008554,"Guterres, António, 1949-",UN. Secretary-General,A/ES-11/PV.17,2023-02-22,9,2023,2,22,A,ES-11,,PV.17,,A_2023_ES-11_PV.17_,A_2023_ES-11_PV.17_speeches.pdf,4008525.0,A/ES-11/PV.17,English,https://digitallibrary.un.org/record/4008525/files/A_ES-11_PV.17-EN.pdf,2023-02-22
4004141,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9260,2023-02-14,9,2023,2,14,S,,,PV.9260,,S_2023_PV.9260_,S_2023_PV.9260_speeches.pdf,4003737.0,S/PV.9260,English,https://digitallibrary.un.org/record/4003737/files/S_PV.9260-EN.pdf,2023-02-14
4014856,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.58,2023-02-06,9,2023,2,6,A,,77.0,PV.58,,A_2023_77_PV.58_,A_2023_77_PV.58_speeches.pdf,4013165.0,A/77/PV.58,English,https://digitallibrary.un.org/record/4013165/files/A_77_PV.58-EN.pdf,2023-02-06
4000346,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9241,2023-01-12,9,2023,1,12,S,,,PV.9241,,S_2023_PV.9241_,S_2023_PV.9241_speeches.pdf,4000343.0,S/PV.9241,English,https://digitallibrary.un.org/record/4000343/files/S_PV.9241-EN.pdf,2023-01-12
3998272,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9220,2022-12-14,9,2022,12,14,S,,,PV.9220,,S_2022_PV.9220_,S_2022_PV.9220_speeches.pdf,3998258.0,S/PV.9220,English,https://digitallibrary.un.org/record/3998258/files/S_PV.9220-EN.pdf,2022-12-14
4010110,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.48,2022-12-08,9,2022,12,8,A,,77.0,PV.48,,A_2022_77_PV.48_,A_2022_77_PV.48_speeches.pdf,4010076.0,A/77/PV.48,English,https://digitallibrary.un.org/record/4010076/files/A_77_PV.48-EN.pdf,2022-12-08
3994059,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9181,2022-11-03,9,2022,11,3,S,,,PV.9181,,S_2022_PV.9181_,S_2022_PV.9181_speeches.pdf,3993968.0,S/PV.9181,English,https://digitallibrary.un.org/record/3993968/files/S_PV.9181-EN.pdf,2022-11-03
4010820,"Guterres, António, 1949-",UN. Secretary-General,A/C.5/77/SR.5,2022-10-12,9,2022,10,12,A,C.5,77.0,SR.5,,A_2022_C.5_77_SR.5_,A_2022_C.5_77_SR.5_speeches.pdf,4010721.0,A/C.5/77/SR.5,English,https://digitallibrary.un.org/record/4010721/files/A_C.5_77_SR.5-EN.pdf,2022-10-12
3990796,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9149,2022-10-11,9,2022,10,11,S,,,PV.9149,,S_2022_PV.9149_,S_2022_PV.9149_speeches.pdf,3990653.0,S/PV.9149,English,https://digitallibrary.un.org/record/3990653/files/S_PV.9149-EN.pdf,2022-10-11
4000839,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.15,2022-10-07,9,2022,10,7,A,,77.0,PV.15,,A_2022_77_PV.15_,A_2022_77_PV.15_speeches.pdf,4000828.0,A/77/PV.15,English,https://digitallibrary.un.org/record/4000828/files/A_77_PV.15-EN.pdf,2022-10-07
3989479,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9135,2022-09-22,9,2022,9,22,S,,,PV.9135,,S_2022_PV.9135_,S_2022_PV.9135_speeches.pdf,3988664.0,S/PV.9135,English,https://digitallibrary.un.org/record/3988664/files/S_PV.9135-EN.pdf,2022-09-22
3996891,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.4,2022-09-20,9,2022,9,20,A,,77.0,PV.4,,A_2022_77_PV.4_,A_2022_77_PV.4_speeches.pdf,3996866.0,A/77/PV.4,English,https://digitallibrary.un.org/record/3996866/files/A_77_PV.4-EN.pdf,2022-09-20
3996566,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.2,2022-09-15,9,2022,9,15,A,,77.0,PV.2,,A_2022_77_PV.2_,A_2022_77_PV.2_speeches.pdf,3996553.0,A/77/PV.2,English,https://digitallibrary.un.org/record/3996553/files/A_77_PV.2-EN.pdf,2022-09-15
3996446,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.1,2022-09-13,9,2022,9,13,A,,77.0,PV.1,,A_2022_77_PV.1_,A_2022_77_PV.1_speeches.pdf,3996208.0,A/77/PV.1,English,https://digitallibrary.un.org/record/3996208/files/A_77_PV.1-EN.pdf,2022-09-13
