record_id,speech_code,lang_field,doc_url,date
3993968,S/PV.9181,English,https://digitallibrary.un.org/record/3993968/files/S_PV.9181-EN.pdf,2022-11-03
4010721,A/C.5/77/SR.5,English,https://digitallibrary.un.org/record/4010721/files/A_C.5_77_SR.5-EN.pdf,2022-10-12
3990653,S/PV.9149,English,https://digitallibrary.un.org/record/3990653/files/S_PV.9149-EN.pdf,2022-10-11
4000828,A/77/PV.15,English,https://digitallibrary.un.org/record/4000828/files/A_77_PV.15-EN.pdf,2022-10-07
3988664,S/PV.9135,English,https://digitallibrary.un.org/record/3988664/files/S_PV.9135-EN.pdf,2022-09-22
3996866,A/77/PV.4,English,https://digitallibrary.un.org/record/3996866/files/A_77_PV.4-EN.pdf,2022-09-20
3996553,A/77/PV.2,English,https://digitallibrary.un.org/record/3996553/files/A_77_PV.2-EN.pdf,2022-09-15
3996208,A/77/PV.1,English,https://digitallibrary.un.org/record/3996208/files/A_77_PV.1-EN.pdf,2022-09-13
3995627,A/76/PV.103,English,https://digitallibrary.un.org/record/3995627/files/A_76_PV.103-EN.pdf,2022-09-12
3986612,S/PV.9124,English,https://digitallibrary.un.org/record/3986612/files/S_PV.9124-EN.pdf,2022-09-06
3985442,S/PV.9115,English,https://digitallibrary.un.org/record/3985442/files/S_PV.9115-EN.pdf,2022-08-24
3985163,S/PV.9112,English,https://digitallibrary.un.org/record/3985163/files/S_PV.9112-EN.pdf,2022-08-22
3989149,E/2022/SR.30,English,https://digitallibrary.un.org/record/3989149/files/E_2022_SR.30-EN.pdf,2022-07-13
3980994,S/PV.9090 (Resumption 1),English,https://digitallibrary.un.org/record/3980994/files/S_PV.9090_%28Resumption_1%29-EN.pdf,2022-07-12
3980993,S/PV.9090,English,https://digitallibrary.un.org/record/3980993/files/S_PV.9090-EN.pdf,2022-07-12
3991335,A/76/PV.90,English,https://digitallibrary.un.org/record/3991335/files/A_76_PV.90-EN.pdf,2022-06-30
3986955,E/2022/SR.25,English,https://digitallibrary.un.org/record/3986955/files/E_2022_SR.25-EN.pdf,2022-06-21
3978536,S/PV.9068,English,https://digitallibrary.un.org/record/3978536/files/S_PV.9068-EN.pdf,2022-06-20
3977833,S/PV.9064 (Resumption 1),English,https://digitallibrary.un.org/record/3977833/files/S_PV.9064_%28Resumption_1%29-EN.pdf,2022-06-15
3977743,S/PV.9064,English,https://digitallibrary.un.org/record/3977743/files/S_PV.9064-EN.pdf,2022-06-15
3987390,A/76/PV.75,English,https://digitallibrary.un.org/record/3987390/files/A_76_PV.75-EN.pdf,2022-06-07
3986821,A/76/PV.73,English,https://digitallibrary.un.org/record/3986821/files/A_76_PV.73-EN.pdf,2022-05-20
3974608,S/PV.9036 (Resumption 1),English,https://digitallibrary.un.org/record/3974608/files/S_PV.9036_%28Resumption_1%29-EN.pdf,2022-05-19
3974259,S/PV.9036,English,https://digitallibrary.un.org/record/3974259/files/S_PV.9036-EN.pdf,2022-05-19
3986931,E/2022/SR.14,English,https://digitallibrary.un.org/record/3986931/files/E_2022_SR.14-EN.pdf,2022-05-17
3972582,S/PV.9027,English,https://digitallibrary.un.org/record/3972582/files/S_PV.9027-EN.pdf,2022-05-05
3968212,S/PV.9011,English,https://digitallibrary.un.org/record/3968212/files/S_PV.9011-EN.pdf,2022-04-05
3986215,A/76/PV.63,English,https://digitallibrary.un.org/record/3986215/files/A_76_PV.63-EN.pdf,2022-03-29
3966660,S/PV.9001,English,https://digitallibrary.un.org/record/3966660/files/S_PV.9001-EN.pdf,2022-03-23
3985552,A/76/PV.62,English,https://digitallibrary.un.org/record/3985552/files/A_76_PV.62-EN.pdf,2022-03-18
3967063,A/ES-11/PV.1,English,https://digitallibrary.un.org/record/3967063/files/A_ES-11_PV.1-EN.pdf,2022-02-28
3969163,A/76/PV.58,English,https://digitallibrary.un.org/record/3969163/files/A_76_PV.58-EN.pdf,2022-02-23
3959147,S/PV.8974,English,https://digitallibrary.un.org/record/3959147/files/S_PV.8974-EN.pdf,2022-02-23
3959243,S/PV.8967,English,https://digitallibrary.un.org/record/3959243/files/S_PV.8967-EN.pdf,2022-02-16
