record_id,speaker,speaker_organization,document_symbol,document_symbol_searchable,date,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf
3990712,"Guterres, António, 1949-",UN. Secretary-General,E/2022/SR.30,E2022SR30,2022-07-13,2022,7,13,E,,2022,SR.30,,E_2022_2022_SR.30_,E_2022_2022_SR.30_speeches.pdf
3981233,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9090,SPV9090,2022-07-12,2022,7,12,S,,,PV.9090,,S_2022_PV.9090_,S_2022_PV.9090_speeches.pdf
3991391,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.90,A76PV90,2022-06-30,2022,6,30,A,,76,PV.90,,A_2022_76_PV.90_,A_2022_76_PV.90_speeches.pdf
3987691,"Guterres, António, 1949-",UN. Secretary-General,E/2022/SR.25,E2022SR25,2022-06-21,2022,6,21,E,,2022,SR.25,,E_2022_2022_SR.25_,E_2022_2022_SR.25_speeches.pdf
3978586,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9068,SPV9068,2022-06-20,2022,6,20,S,,,PV.9068,,S_2022_PV.9068_,S_2022_PV.9068_speeches.pdf
3977870,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9064,SPV9064,2022-06-15,2022,6,15,S,,,PV.9064,,S_2022_PV.9064_,S_2022_PV.9064_speeches.pdf
3994296,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.75,A76PV75,2022-06-07,2022,6,7,A,,76,PV.75,,A_2022_76_PV.75_,A_2022_76_PV.75_speeches.pdf
3987452,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.73,A76PV73,2022-05-20,2022,5,20,A,,76,PV.73,,A_2022_76_PV.73_,A_2022_76_PV.73_speeches.pdf
3974720,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9036,SPV9036,2022-05-19,2022,5,19,S,,,PV.9036,,S_2022_PV.9036_,S_2022_PV.9036_speeches.pdf
3987590,"Guterres, António, 1949-",UN. Secretary-General,E/2022/SR.14,E2022SR14,2022-05-17,2022,5,17,E,,2022,SR.14,,E_2022_2022_SR.14_,E_2022_2022_SR.14_speeches.pdf
3973013,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9027,SPV9027,2022-05-05,2022,5,5,S,,,PV.9027,,S_2022_PV.9027_,S_2022_PV.9027_speeches.pdf
3968347,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9011,SPV9011,2022-04-05,2022,4,5,S,,,PV.9011,,S_2022_PV.9011_,S_2022_PV.9011_speeches.pdf
3986585,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.63,A76PV63,2022-03-29,2022,3,29,A,,76,PV.63,,A_2022_76_PV.63_,A_2022_76_PV.63_speeches.pdf
3967337,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9001,SPV9001,2022-03-23,2022,3,23,S,,,PV.9001,,S_2022_PV.9001_,S_2022_PV.9001_speeches.pdf
3986684,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.62,A76PV62,2022-03-18,2022,3,18,A,,76,PV.62,,A_2022_76_PV.62_,A_2022_76_PV.62_speeches.pdf
3967632,"Guterres, António, 1949-",UN. Secretary-General,A/ES-11/PV.1,AES11PV1,2022-02-28,2022,2,28,A,ES-11,,PV.1,,A_2022_ES-11_PV.1_,A_2022_ES-11_PV.1_speeches.pdf
3969641,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.58,A76PV58,2022-02-23,2022,2,23,A,,76,PV.58,,A_2022_76_PV.58_,A_2022_76_PV.58_speeches.pdf
3964066,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8974,SPV8974,2022-02-23,2022,2,23,S,,,PV.8974,,S_2022_PV.8974_,S_2022_PV.8974_speeches.pdf
3959373,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8967,SPV8967,2022-02-16,2022,2,16,S,,,PV.8967,,S_2022_PV.8967_,S_2022_PV.8967_speeches.pdf
3956573,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8954,SPV8954,2022-01-26,2022,1,26,S,,,PV.8954,,S_2022_PV.8954_,S_2022_PV.8954_speeches.pdf
3956355,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8953,SPV8953,2022-01-25,2022,1,25,S,,,PV.8953,,S_2022_PV.8953_,S_2022_PV.8953_speeches.pdf
3986256,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.56,A76PV56,2022-01-21,2022,1,21,A,,76,PV.56,,A_2022_76_PV.56_,A_2022_76_PV.56_speeches.pdf
3951301,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8923,SPV8923,2021-12-09,2021,12,9,S,,,PV.8923,,S_2021_PV.8923_,S_2021_PV.8923_speeches.pdf
3948752,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8906,SPV8906,2021-11-16,2021,11,16,S,,,PV.8906,,S_2021_PV.8906_,S_2021_PV.8906_speeches.pdf
3948041,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8900,SPV8900,2021-11-09,2021,11,9,S,,,PV.8900,,S_2021_PV.8900_,S_2021_PV.8900_speeches.pdf
3945748,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8886,SPV8886,2021-10-21,2021,10,21,S,,,PV.8886,,S_2021_PV.8886_,S_2021_PV.8886_speeches.pdf
3958700,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.19,A76PV19,2021-10-14,2021,10,14,A,,76,PV.19,,A_2021_76_PV.19_,A_2021_76_PV.19_speeches.pdf
